name,mass,radius,orbital_period,star_name,star_distance,star_age
HATS-31 b,0.88,1.64,3.37796,HATS-31,872.0,4.3
HATS-32 b,0.92,1.249,2.8126548,HATS-32,839.0,3.5
HATS-33 b,1.192,1.23,2.5495551,HATS-33,355.0,3.0
HATS-34 b,0.941,1.43,2.1061607,HATS-34,532.0,7.7
HATS-35 b,1.222,1.464,1.8209933,HATS-35,557.0,2.13
HATS-36 b,2.79,1.153,4.175186,HATS-36,878.65,3.4
HATS-37 Ab,0.099,0.606,4.3315366,HATS-37 A,211.1,11.46
HATS-38 b,0.074,0.614,4.375021,HATS-38,347.7,11.89
HATS-39 b,0.63,1.57,4.5776348,HATS-39,773.0,2.06
HATS-3 b,1.071,1.381,3.547851,HATS-3,453.0,3.2
HATS-40 b,1.59,1.58,3.2642736,HATS-40,1431.0,2.07
HATS-41 b,9.7,1.33,4.193649,HATS-41,800.0,1.34
HATS-42 b,1.88,1.4,2.292102,HATS-42,942.0,3.26
HATS-43 b,0.261,1.18,4.3888497,HATS-43,341.0,8.6
HATS-44 b,0.56,1.067,2.7439004,HATS-44,463.0,9.7
HATS-45 b,0.7,1.286,4.1876244,HATS-45,818.0,1.52
HATS-46 b,0.173,0.903,4.7423729,HATS-46,448.0,3.0
HATS-47 Ab,0.369,1.117,3.9228038,HATS-47 A,301.7,8.1
HATS-48 Ab,0.243,0.8,3.1316666,HATS-48 A,265.4,11.97
HATS-49 b,0.353,0.765,4.1480467,HATS-49,324.6,10.5
HATS-4 b,1.323,1.02,2.516729,HATS-4,420.0,2.1
HATS-50 b,0.39,1.13,3.8297015,HATS-50,717.0,1.2
HATS-51 b,0.768,1.41,3.3488702,HATS-51,478.0,4.74
HATS-52 b,2.24,1.382,1.3665436,HATS-52,631.0,1.2
HATS-53 b,0.595,1.34,3.8537768,HATS-53,613.0,8.0
HATS-54 b,0.753,1.015,2.5441765,HATS-54,720.0,7.96
HATS-56 b,0.602,1.688,4.324799,HATS-56,577.1,1.894
HATS-57 Ab,3.147,1.13,2.350621,HATS-57 A,280.0,2.5
HATS-58 Ab,1.03,1.095,4.2180896,HATS-58 A,492.0,0.31
HATS-59 b,0.806,1.126,5.416081,HATS-59,654.0,4.3
HATS-5 b,0.237,0.912,4.763387,HATS-5,257.0,3.6
HATS-60 b,0.662,1.153,3.560829,HATS-60,494.7,7.53
HATS-61 b,3.4,1.195,7.817953,HATS-61,694.2,8.93
HATS-62 Ab,0.179,1.055,3.2768837,HATS-62 A,515.9,8.0
HATS-63 b,0.96,1.207,3.0566527,HATS-63,634.4,10.4
HATS-64 b,0.96,1.679,4.908897,HATS-64,1087.0,1.86
HATS-65 Ab,0.821,1.501,3.105161,HATS-65 A,491.0,1.42
HATS-66 b,5.33,1.411,3.1414391,HATS-66,1542.0,2.29
HATS-67 b,1.45,1.685,1.6091788,HATS-67,983.0,0.44
HATS-68 b,1.29,1.2321,3.5862202,HATS-68,619.0,3.14
HATS-69 b,0.577,0.945,2.2252577,HATS-69,420.3,8.0
HATS-70 b,12.9,1.384,1.8882378,HATS-70,1307.0,0.81
HATS-72 b,0.1254,0.7224,7.3279474,HATS-72,127.66,12.17
HATS-74 Ab,1.46,1.032,1.73185606,HATS-74 A,286.6,11.0
HATS-75 b,0.491,0.884,2.7886556,HATS-75,195.3,14.9
HATS-76 b,2.629,1.079,1.9416423,HATS-76,390.0,4.6
HATS-77 b,1.374,1.165,3.0876262,HATS-77,414.0,12.1
HATS-7 b,0.12,0.563,3.185315,HATS-7,257.0,7.8
HATS-8 b,0.138,0.873,3.583893,HATS-8,829.0,5.1
HATS-9 b,0.839,1.236,1.915291,HATS-9,654.36,10.8
HD 100546 b,1.65,6.9,91250.0,HD 100546,110.0,0.0048
HD 106315 b,0.033,0.214,9.55288,HD 106315,109.0,4.48
HD 106315 c,0.038,0.3908,21.05652,HD 106315,109.0,4.48
HD 110067 b,0.0179,0.19627,9.113678,HD 110067,32.22,8.1
HD 110067 c,0.0198,0.2132,13.673694,HD 110067,32.22,8.1
HD 110067 d,0.02681,0.2543,20.519617,HD 110067,32.22,8.1
HD 110067 e,0.0123,0.1731,30.793091,HD 110067,32.22,8.1
HD 110067 f,0.01586,0.232,41.05854,HD 110067,32.22,8.1
HD 110067 g,0.0264,0.23258,54.76992,HD 110067,32.22,8.1
HD 114082 b,8.0,1.0,109.75,HD 114082,95.06,0.015
HD 118203 b,2.17,1.14,6.13499,HD 118203,88.6,5.32
HD 1397 b,0.415,1.026,11.53533,HD 1397,79.31,4.52
HD 143811 (AB)b,5.6,1.4,119181.0,HD 143811 (AB),136.86,0.018
HD 149026 b,0.28,0.74,2.8758916,HD 149026,78.9,2.0
HD 17156 b,3.195,1.095,21.2163979,HD 17156,78.24,3.38
HD 189733 Ab,1.138,1.138,2.219,HD 189733 A,19.3,0.6
HD 190622 b,0.0242,0.27541,15.507612,HD 190622,88.74,5.3
HD 191939 b,0.031,0.303,8.88029,HD 191939,53.608,7.0
HD 191939 c,0.0227,0.2748,28.5805,HD 191939,53.608,7.0
HD 191939 d,0.0182,0.2712,38.3525,HD 191939,53.608,7.0
HD 202772 Ab,1.008,1.562,3.30896,HD 202772 A,147.2,1.8
HD 20329 b,0.02335,0.1534,0.926118,HD 20329,63.38,11.0
HD 206893 c,10.31,1.46,2082.0,HD 206893,38.34,1.1
HD 207496 Ab,0.0192,0.2007,6.441008,HD 207496 A,23.6382,0.52
HD 207897 b,0.05,0.22348,16.202157,HD 207897,28.25,7.1
HD 209458 b,0.69,1.38,3.52472,HD 209458,47.0,4.0
HD 213885 Ab,0.02778,0.15568,1.008035,HD 213885 A,57.97,3.8
HD 21520 b,0.0249,0.24061,25.1292,HD 21520,79.0,5.3
HD 219666 b,0.0522,0.4202,6.03607,HD 219666,94.4,10.0
HD 221416 b,0.1904,0.836,14.2767,HD 221416,95.075,4.9
HD 22946 b,0.00821,0.12151,4.040295,HD 22946,62.87,5.0
HD 22946 c,0.0208,0.20769,9.573083,HD 22946,62.87,5.0
HD 22946 d,0.0249,0.23258,47.42489,HD 22946,62.87,5.0
HD 260655 b,0.00673,0.1106,2.76953,HD 260655,9.9976,5.0
HD 260655 c,0.00972,0.13677,5.70588,HD 260655,9.9976,5.0
HD 2685 b,1.18,1.44,4.12692,HD 2685,197.98,1.3
HD 28109 b,0.058195,0.19618,22.89104,HD 28109,140.087,1.1
HD 3167 b,0.0158,0.152,0.959624,HD 3167,47.36,5.0
HD 3167 c,0.0308,0.255,29.83832,HD 3167,47.36,5.0
HD 332231 b,0.244,0.867,18.71204,HD 332231,80.597,4.3
HD 5278 Ab,0.0245,0.2186,14.33902,HD 5278 A,56.12,3.0
HD 63433 b,0.0689,0.1945,7.1079477,HD 63433,22.42,0.414
HD 63433 c,0.0482,0.2427,20.54383,HD 63433,22.42,0.414
